method,seed,episode,reward,success,steps,cost_ratio,budgeted_success,override_rate,override_win_rate,override_regret_rate,harmful_fraction,beneficial_fraction,action_entropy
stride_imitation_only,0,0,65.03938893639486,1.0,8,0.23106060606060605,1.0,0.0,0.0,0.0,0.0,0.0,0.9743147492408752
stride_imitation_only,0,1,49.9437203781098,1.0,8,0.23863636363636365,1.0,0.0,0.0,0.0,0.0,0.0,1.082195520401001
stride_imitation_only,0,2,78.49714946243294,1.0,8,0.22348484848484848,1.0,0.0,0.0,0.0,0.0,0.0,0.9002560377120972
stride_imitation_only,0,3,76.63443225910493,1.0,9,0.2727272727272727,1.0,0.0,0.0,0.0,0.0,0.0,0.8486855626106262
stride_imitation_only,0,4,-64.41592272669507,0.0,11,0.5037878787878788,0.0,0.0,0.0,0.0,0.0,0.0,0.934769868850708
stride_imitation_only,0,5,82.46061006235477,1.0,7,0.19015151515151515,1.0,0.0,0.0,0.0,0.0,0.0,0.9556998610496521
stride_imitation_only,1,0,75.2767228956921,1.0,10,0.28863636363636364,1.0,0.0,0.0,0.0,0.0,0.0,0.9502705335617065
stride_imitation_only,1,1,74.4033095324958,1.0,9,0.2727272727272727,1.0,0.0,0.0,0.0,0.0,0.0,0.8486855626106262
stride_imitation_only,1,2,59.21260318820503,1.0,8,0.23106060606060605,1.0,0.0,0.0,0.0,0.0,0.0,0.9743147492408752
stride_imitation_only,1,3,61.01995651613655,1.0,12,0.346969696969697,1.0,0.0,0.0,0.0,0.0,0.0,0.9596148133277893
stride_imitation_only,1,4,79.5549163820589,1.0,8,0.22348484848484848,1.0,0.0,0.0,0.0,0.0,0.0,0.9002560377120972
stride_imitation_only,1,5,61.99783442544047,1.0,13,0.3643939393939394,1.0,0.0,0.0,0.0,0.0,0.0,0.8587409257888794
stride_imitation_only,2,0,74.32116365987704,1.0,8,0.22348484848484848,1.0,0.0,0.0,0.0,0.0,0.0,0.9002560377120972
stride_imitation_only,2,1,-0.10576583122255201,1.0,11,0.3340909090909091,1.0,0.0,0.0,0.0,0.0,0.0,1.162225604057312
stride_imitation_only,2,2,-38.534561318469265,0.0,13,0.40984848484848485,0.0,0.0,0.0,0.0,0.0,0.0,1.2658567428588867
stride_imitation_only,2,3,63.64481559523861,1.0,9,0.23106060606060605,1.0,0.0,0.0,0.0,0.0,0.0,0.9649629592895508
stride_imitation_only,2,4,63.42042318517463,1.0,10,0.29772727272727273,1.0,0.0,0.0,0.0,0.0,0.0,0.897945761680603
stride_imitation_only,2,5,62.89432751131746,1.0,9,0.23106060606060605,1.0,0.0,0.0,0.0,0.0,0.0,0.9649629592895508
stride_imitation_only,3,0,63.09389958628818,1.0,11,0.31363636363636366,1.0,0.0,0.0,0.0,0.0,0.0,0.9949235916137695
stride_imitation_only,3,1,78.07066206565523,1.0,8,0.22196969696969698,1.0,0.0,0.0,0.0,0.0,0.0,1.0397207736968994
stride_imitation_only,3,2,65.04714653168435,1.0,9,0.23106060606060605,1.0,0.0,0.0,0.0,0.0,0.0,0.9649629592895508
stride_imitation_only,3,3,67.67259053015175,1.0,8,0.2643939393939394,1.0,0.0,0.0,0.0,0.0,0.0,0.9002560377120972
stride_imitation_only,3,4,81.04255911231931,1.0,7,0.19015151515151515,1.0,0.0,0.0,0.0,0.0,0.0,0.9556998610496521
stride_imitation_only,3,5,-32.51735101234154,0.0,16,0.45454545454545453,0.0,0.0,0.0,0.0,0.0,0.0,1.0433533191680908
stride_imitation_only,4,0,35.03854740323747,1.0,9,0.24772727272727274,1.0,0.0,0.0,0.0,0.0,0.0,0.9368883371353149
stride_imitation_only,4,1,35.42316480162265,1.0,12,0.38106060606060604,1.0,0.0,0.0,0.0,0.0,0.0,0.8876943588256836
stride_imitation_only,4,2,79.58667006254345,1.0,8,0.23939393939393938,1.0,0.0,0.0,0.0,0.0,0.0,0.9002560377120972
stride_imitation_only,4,3,77.73667284211241,1.0,7,0.20606060606060606,1.0,0.0,0.0,0.0,0.0,0.0,0.9556998610496521
stride_imitation_only,4,4,61.810510005680676,1.0,11,0.29772727272727273,1.0,0.0,0.0,0.0,0.0,0.0,0.9164649248123169
stride_imitation_only,4,5,61.75326775058343,1.0,12,0.33106060606060606,1.0,0.0,0.0,0.0,0.0,0.0,0.8876943588256836
