task_type,task_difficulty,split,strategy,avg_pass_rate
number_theory,H,train,role_decomposed,1.0
number_theory,H,train,semantic_diff,1.0
number_theory,H,train,simulation_trace,1.0
number_theory,M,test,contract_first,1.0
number_theory,M,test,failure_mode_first,1.0
number_theory,M,test,multi_view,1.0
number_theory,M,test,pattern_skeleton,1.0
number_theory,M,test,role_decomposed,1.0
number_theory,M,test,semantic_diff,1.0
number_theory,M,test,simulation_trace,1.0
number_theory,S,test,contract_first,1.0
number_theory,S,test,failure_mode_first,1.0
number_theory,S,test,multi_view,1.0
number_theory,S,test,pattern_skeleton,1.0
number_theory,S,test,role_decomposed,1.0
number_theory,S,test,semantic_diff,1.0
number_theory,S,test,simulation_trace,1.0
number_theory,S,train,contract_first,1.0
number_theory,S,train,failure_mode_first,1.0
number_theory,S,train,multi_view,1.0
number_theory,S,train,pattern_skeleton,1.0
number_theory,S,train,role_decomposed,1.0
number_theory,S,train,semantic_diff,1.0
number_theory,S,train,simulation_trace,1.0
string,H,ood,contract_first,1.0
string,H,ood,failure_mode_first,1.0
string,H,ood,multi_view,1.0
string,H,ood,pattern_skeleton,1.0
string,H,ood,role_decomposed,1.0
string,H,ood,semantic_diff,1.0
string,H,ood,simulation_trace,1.0
string,H,train,contract_first,1.0
string,H,train,failure_mode_first,1.0
string,H,train,multi_view,1.0
string,H,train,pattern_skeleton,1.0
string,H,train,role_decomposed,1.0
string,H,train,semantic_diff,1.0
string,H,train,simulation_trace,1.0
string,M,test,contract_first,1.0
string,M,test,failure_mode_first,1.0
string,M,test,multi_view,1.0
string,M,test,pattern_skeleton,1.0
string,M,test,role_decomposed,1.0
string,M,test,semantic_diff,1.0
string,M,test,simulation_trace,1.0
string,M,train,contract_first,1.0
string,M,train,failure_mode_first,1.0
string,M,train,multi_view,1.0
string,M,train,pattern_skeleton,1.0
string,M,train,role_decomposed,1.0
string,M,train,semantic_diff,1.0
string,M,train,simulation_trace,1.0
string,S,test,contract_first,1.0
string,S,test,failure_mode_first,1.0
string,S,test,multi_view,1.0
string,S,test,pattern_skeleton,1.0
string,S,test,role_decomposed,1.0
string,S,test,semantic_diff,1.0
string,S,test,simulation_trace,1.0
string,S,train,contract_first,1.0
string,S,train,failure_mode_first,1.0
string,S,train,multi_view,1.0
string,S,train,pattern_skeleton,1.0
string,S,train,role_decomposed,1.0
string,S,train,semantic_diff,1.0
string,S,train,simulation_trace,1.0
