seed,policy,avg_reward,std_reward,win_rate,starved_tasks,dropped_tasks,deadline_misses,market_starved,market_dropped
2,random,6275.2,10730.17455869195,0.336,20.2,11.6,0.0,101.6,69.4
2,skill_match,18653.9,11166.73805728423,0.44399999999999995,10.6,15.2,0.0,101.6,69.4
2,contract_first,-17985.1,30767.391846563794,0.184,24.6,14.2,0.0,101.6,69.4
2,pattern_skeleton,-12918.1,35586.77268930129,0.2,23.8,14.2,0.0,101.6,69.4
2,meta_strategy,-10026.1,38406.5268781232,0.22800000000000004,22.4,14.2,0.0,101.6,69.4
