avg_reward,std_reward,win_rate,starved_tasks,deadline_misses,agent,seed,episodes
5119.1,6836.811481970231,0.28400000000000003,19.2,0.0,random,5,5
24482.9,14789.950055358539,0.45600000000000007,7.0,0.0,skill_match,5,5
29815.0,10528.617668051205,0.528,7.6,0.0,contract_first,5,5
29815.0,10528.617668051205,0.528,7.6,0.0,pattern_skeleton,5,5
29815.0,10528.617668051205,0.528,7.6,0.0,meta_strategy,5,5
