policy,avg_reward_mean,avg_reward_std,win_rate_mean,win_rate_std,starved_tasks_mean,starved_tasks_std,dropped_tasks_mean,dropped_tasks_std,deadline_misses_mean,deadline_misses_std,market_starved_mean,market_dropped_mean
skill_match,21496.829999999998,6162.515143285428,0.44800000000000006,0.07246761728907304,8.540000000000001,1.784002989534117,17.18,3.7421918710830417,0.0,0.0,92.66,73.64
random,3404.7799999999997,4054.900259576197,0.28440000000000004,0.06942173851019418,23.360000000000003,4.970848351472144,10.8,2.3870018386624205,0.0,0.0,92.66,73.64
pattern_skeleton,-3569.9799999999996,9412.415367752908,0.29119999999999996,0.07744359954903382,18.340000000000003,3.9497397945237416,15.219999999999999,1.5418603481941326,0.0,0.0,92.66,73.64
contract_first,-10500.880000000001,16620.792203194702,0.23880000000000004,0.12164867446873392,20.96,6.934487083491548,15.219999999999999,1.5418603481941326,0.0,0.0,92.66,73.64
meta_strategy,-11940.310000000001,6285.264090350098,0.22880000000000003,0.03886386496477158,21.46,1.751316964775683,15.219999999999999,1.5418603481941326,0.0,0.0,92.66,73.64
