method,seed,episode,reward,success,steps,cost_ratio,budgeted_success,override_rate,override_win_rate,override_regret_rate,harmful_fraction,beneficial_fraction,action_entropy
stride_cost_aware,0,0,-121.61445590842942,0.0,21,0.5174242424242425,0.0,0.6666666666666666,0.21428571428571427,0.7857142857142857,0.7857142857142857,0.21428571428571427,0.9550808072090149
stride_cost_aware,0,1,62.192326964371375,1.0,12,0.33560606060606063,1.0,0.3333333333333333,0.75,0.25,0.25,0.75,1.3579778671264648
stride_cost_aware,0,2,78.33272505661296,1.0,8,0.22348484848484848,1.0,0.0,0.0,0.0,0.0,0.0,0.9002560377120972
stride_cost_aware,0,3,76.45168661608017,1.0,9,0.2727272727272727,1.0,0.0,0.0,0.0,0.0,0.0,0.8486855626106262
stride_cost_aware,1,0,75.56629387455129,1.0,8,0.23939393939393938,1.0,0.0,0.0,0.0,0.0,0.0,0.9002560377120972
stride_cost_aware,1,1,67.51833625425031,1.0,9,0.24696969696969698,1.0,0.1111111111111111,1.0,0.0,0.0,1.0,1.0608569383621216
stride_cost_aware,1,2,80.24680455769892,1.0,9,0.2727272727272727,1.0,0.0,0.0,0.0,0.0,0.0,0.8486855626106262
stride_cost_aware,1,3,76.44538742000017,1.0,7,0.20606060606060606,1.0,0.0,0.0,0.0,0.0,0.0,0.9556998610496521
stride_cost_aware,2,0,63.249151513348195,1.0,21,0.5181818181818182,1.0,0.42857142857142855,0.5555555555555556,0.4444444444444444,0.4444444444444444,0.5555555555555556,1.3807590007781982
stride_cost_aware,2,1,80.42637882204383,1.0,8,0.23939393939393938,1.0,0.0,0.0,0.0,0.0,0.0,0.9002560377120972
stride_cost_aware,2,2,78.11836645531248,1.0,8,0.22348484848484848,1.0,0.0,0.0,0.0,0.0,0.0,0.9002560377120972
stride_cost_aware,2,3,79.19252375081209,1.0,9,0.25681818181818183,1.0,0.0,0.0,0.0,0.0,0.0,0.8486855626106262
stride_cost_aware,3,0,-10.858476517551836,0.0,22,0.553030303030303,0.0,0.5,0.45454545454545453,0.5454545454545454,0.5454545454545454,0.45454545454545453,1.3730039596557617
stride_cost_aware,3,1,76.11290525875626,1.0,8,0.23939393939393938,1.0,0.0,0.0,0.0,0.0,0.0,0.9002560377120972
stride_cost_aware,3,2,-93.24462059588858,0.0,22,0.5416666666666666,0.0,0.5909090909090909,0.15384615384615385,0.8461538461538461,0.8461538461538461,0.15384615384615385,1.0971664190292358
stride_cost_aware,3,3,82.73954895352213,1.0,12,0.3446969696969697,1.0,0.16666666666666666,1.0,0.0,0.0,1.0,0.9830877780914307
stride_cost_aware,4,0,-80.09704106517965,0.0,22,0.5484848484848485,0.0,0.5909090909090909,0.23076923076923078,0.7692307692307693,0.7692307692307693,0.23076923076923078,1.0237154960632324
stride_cost_aware,4,1,76.25391502765697,1.0,7,0.20606060606060606,1.0,0.0,0.0,0.0,0.0,0.0,0.9556998610496521
stride_cost_aware,4,2,76.23396777245668,1.0,8,0.22348484848484848,1.0,0.0,0.0,0.0,0.0,0.0,0.9002560377120972
stride_cost_aware,4,3,39.0150808122754,1.0,11,0.3477272727272727,1.0,0.36363636363636365,0.5,0.5,0.5,0.5,1.5157078504562378
