success_rate,avg_reward,avg_cost,avg_steps,override_rate,override_win_rate,override_regret_rate,harmful_fraction,beneficial_fraction,budgeted_success,action_entropy,seed
1.0,78.65140592987001,0.3234848484848485,11.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7595473614748642,0
1.0,80.04267321486194,0.23939393939393938,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9002560212685375,1
1.0,64.12418448691079,0.23106060606060605,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9649628930074284,2
1.0,54.87717190269439,0.22272727272727272,7.0,0.0,0.0,0.0,0.0,0.0,1.0,1.004242443054077,3
1.0,85.04009328502502,0.28863636363636364,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9502705092332353,4
