status,count
Completed,18338
Cancelled - Zero Submissions,1540
Cancelled - Client Request,1179
Cancelled - Failed Review,566
Cancelled - Requirements Infeasible,210
Cancelled - Failed Screening,115
Cancelled - Zero Registrations,36
New,15
Draft,10
Active,7
Cancelled - Winner Unresponsive,7
