month,challenges,total_prize,total_submissions,open_for_registration,open_for_submission,avg_submission_window_hours,ai_challenges,ai_total_prize,ai_submissions,avg_ai_submission_window_hours
2023-01,64,9335,293,0,0,178.26,5,1510,21,81.99
2025-06,42,24680,212,0,0,148.36,12,13004,70,183.15
2025-07,34,31155,256,0,0,139.63,6,11050,85,134.5
2025-08,25,22981,170,0,0,116.17,9,18450,98,186.92
2025-09,36,36536,219,0,0,140.99,16,27351,139,116.95
2025-10,3,1040,23,0,0,45.96,1,240,4,61.56
