method,brier,cost_mae
aegis_full,0.24991874396800995,0.22692280462897815
aegis_flat,0.2741174101829529,0.1992258065329195
aegis_reduced,0.2540983557701111,0.24283819761407027
aegis_no_calibration,0.0,0.0
aegis_no_graph,0.26511040329933167,0.22592947735110475
aegis_no_constraints,0.26647287607192993,0.22466257927747987
aegis_warm_start,0.2820107936859131,0.1660210081995375
