n_disks,strategy,seed,success,moves_taken,optimal_moves,excess_moves,token_estimate,wall_time_sec
8,select_then_decompose,8,0,765,255,510,1592,0.002890208000280836
8,full_decomposition,9,1,255,255,0,1530,0.00026941699979943223
8,select_then_decompose,9,0,765,255,510,1592,0.002903916999912326
9,full_decomposition,0,1,511,511,0,3066,0.0005467920000228332
9,select_then_decompose,0,0,1533,511,1022,3128,0.006891749999795138
9,full_decomposition,1,1,511,511,0,3066,0.0005461250002554152
9,select_then_decompose,1,0,1533,511,1022,3128,0.006913499999882333
9,full_decomposition,2,1,511,511,0,3066,0.0005452079999486159
9,select_then_decompose,2,0,1533,511,1022,3128,0.006879957999899489
9,full_decomposition,3,1,511,511,0,3066,0.0005520830000023125
9,select_then_decompose,3,0,1533,511,1022,3128,0.00692529200023273
9,full_decomposition,4,1,511,511,0,3066,0.0005444160001388809
9,select_then_decompose,4,0,1533,511,1022,3128,0.006854875000044558
9,full_decomposition,5,1,511,511,0,3066,0.0005455420000544109
9,select_then_decompose,5,0,1533,511,1022,3128,0.006844625000212545
9,full_decomposition,6,1,511,511,0,3066,0.0005406249997577106
9,select_then_decompose,6,0,1533,511,1022,3128,0.006875292000131594
9,full_decomposition,7,1,511,511,0,3066,0.0005397919999268197
9,select_then_decompose,7,0,1533,511,1022,3128,0.006893165999827033
9,full_decomposition,8,1,511,511,0,3066,0.0005474170002344181
9,select_then_decompose,8,0,1533,511,1022,3128,0.0069226659998093965
9,full_decomposition,9,1,511,511,0,3066,0.0005788339999526215
9,select_then_decompose,9,0,1533,511,1022,3128,0.0068804580000687565
10,full_decomposition,0,1,1023,1023,0,6138,0.0011187920003976615
10,select_then_decompose,0,0,3069,1023,2046,6200,0.013781957999981387
10,full_decomposition,1,1,1023,1023,0,6138,0.0011383749997548875
10,select_then_decompose,1,0,3069,1023,2046,6200,0.013595832999726554
10,full_decomposition,2,1,1023,1023,0,6138,0.0011099580001427967
10,select_then_decompose,2,0,3069,1023,2046,6200,0.013735707999785518
10,full_decomposition,3,1,1023,1023,0,6138,0.0011174579999533307
10,select_then_decompose,3,0,3069,1023,2046,6200,0.013838500000019849
10,full_decomposition,4,1,1023,1023,0,6138,0.0011190840000381286
10,select_then_decompose,4,0,3069,1023,2046,6200,0.013754915999925288
10,full_decomposition,5,1,1023,1023,0,6138,0.0011166660001435957
10,select_then_decompose,5,0,3069,1023,2046,6200,0.01394004199983101
10,full_decomposition,6,1,1023,1023,0,6138,0.0011237919998166035
10,select_then_decompose,6,0,3069,1023,2046,6200,0.013851207999778126
10,full_decomposition,7,1,1023,1023,0,6138,0.0011195829997632245
10,select_then_decompose,7,0,3069,1023,2046,6200,0.013990250000006199
10,full_decomposition,8,1,1023,1023,0,6138,0.0011110840000583266
10,select_then_decompose,8,0,3069,1023,2046,6200,0.013735749999796099
10,full_decomposition,9,1,1023,1023,0,6138,0.001107417000184796
10,select_then_decompose,9,0,3069,1023,2046,6200,0.01421029199991608
