method,seed,episode,reward,success,steps,cost_ratio,budgeted_success,override_rate,override_win_rate,override_regret_rate,harmful_fraction,beneficial_fraction,action_entropy
stride_gate_plus_residual_plus_curriculum,0,0,-131.15966270734947,0.0,22,0.5363636363636364,0.0,0.5454545454545454,0.25,0.75,0.75,0.25,1.25362229347229
stride_gate_plus_residual_plus_curriculum,0,1,-84.00492595112621,0.0,21,0.5121212121212121,0.0,0.6666666666666666,0.21428571428571427,0.7857142857142857,0.7857142857142857,0.21428571428571427,1.0606125593185425
stride_gate_plus_residual_plus_curriculum,0,2,23.758498541230296,1.0,22,0.5015151515151515,1.0,0.18181818181818182,0.5,0.5,0.5,0.5,1.5382601022720337
stride_gate_plus_residual_plus_curriculum,0,3,-20.23105396234582,0.0,22,0.5583333333333333,0.0,0.5,0.36363636363636365,0.6363636363636364,0.6363636363636364,0.36363636363636365,1.309990644454956
stride_gate_plus_residual_plus_curriculum,0,4,-46.08127854390138,0.0,11,0.5,0.0,0.45454545454545453,0.2,0.6,0.6,0.2,1.2406842708587646
stride_gate_plus_residual_plus_curriculum,1,0,63.54621982328079,1.0,8,0.24848484848484848,1.0,0.0,0.0,0.0,0.0,0.0,0.9002560377120972
stride_gate_plus_residual_plus_curriculum,1,1,-85.4355633139862,0.0,22,0.5378787878787878,0.0,0.6818181818181818,0.2,0.8,0.8,0.2,1.045861005783081
stride_gate_plus_residual_plus_curriculum,1,2,-149.21570132760232,0.0,22,0.546969696969697,0.0,0.6818181818181818,0.13333333333333333,0.8666666666666667,0.8666666666666667,0.13333333333333333,0.8788632154464722
stride_gate_plus_residual_plus_curriculum,1,3,-12.962058128865849,0.0,22,0.4893939393939394,0.0,0.4090909090909091,0.4444444444444444,0.5555555555555556,0.5555555555555556,0.4444444444444444,1.4772924184799194
stride_gate_plus_residual_plus_curriculum,1,4,-57.28303280325389,0.0,23,0.546969696969697,0.0,0.6956521739130435,0.25,0.75,0.75,0.25,0.9592230319976807
stride_gate_plus_residual_plus_curriculum,2,0,-11.096706767950568,1.0,23,0.5537878787878788,1.0,0.6521739130434783,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333,1.0616960525512695
stride_gate_plus_residual_plus_curriculum,2,1,-6.602631461013505,0.0,22,0.5159090909090909,0.0,0.36363636363636365,0.75,0.25,0.25,0.75,1.578721284866333
stride_gate_plus_residual_plus_curriculum,2,2,69.4675723246365,1.0,22,0.5022727272727273,1.0,0.36363636363636365,0.625,0.375,0.375,0.625,1.6205925941467285
stride_gate_plus_residual_plus_curriculum,2,3,-106.94474816854843,0.0,22,0.5295454545454545,0.0,0.6818181818181818,0.2,0.8,0.8,0.2,0.9295777082443237
stride_gate_plus_residual_plus_curriculum,2,4,81.55822168342405,1.0,9,0.2606060606060606,1.0,0.2222222222222222,1.0,0.0,0.0,1.0,1.3030924797058105
stride_gate_plus_residual_plus_curriculum,3,0,-108.32466595802993,0.0,22,0.5590909090909091,0.0,0.6363636363636364,0.14285714285714285,0.8571428571428571,0.8571428571428571,0.14285714285714285,0.9229806661605835
stride_gate_plus_residual_plus_curriculum,3,1,-71.03022151255676,0.0,22,0.5712121212121212,0.0,0.5909090909090909,0.23076923076923078,0.7692307692307693,0.7692307692307693,0.23076923076923078,0.9562373161315918
stride_gate_plus_residual_plus_curriculum,3,2,48.06204657630856,1.0,18,0.47575757575757577,1.0,0.5,0.4444444444444444,0.5555555555555556,0.5555555555555556,0.4444444444444444,1.2094327211380005
stride_gate_plus_residual_plus_curriculum,3,3,66.30758966460846,1.0,15,0.42803030303030304,1.0,0.3333333333333333,1.0,0.0,0.0,1.0,1.3378605842590332
stride_gate_plus_residual_plus_curriculum,3,4,-16.714858973619137,0.0,22,0.48863636363636365,0.0,0.3181818181818182,0.42857142857142855,0.5714285714285714,0.5714285714285714,0.42857142857142855,1.6051472425460815
stride_gate_plus_residual_plus_curriculum,4,0,-112.74522524383808,0.0,22,0.5363636363636364,0.0,0.6818181818181818,0.2,0.8,0.8,0.2,1.045861005783081
stride_gate_plus_residual_plus_curriculum,4,1,66.39917515605325,1.0,13,0.35075757575757577,1.0,0.46153846153846156,1.0,0.0,0.0,1.0,1.3269202709197998
stride_gate_plus_residual_plus_curriculum,4,2,-41.29001229793739,0.0,22,0.5174242424242425,0.0,0.6818181818181818,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333,1.033562183380127
stride_gate_plus_residual_plus_curriculum,4,3,-109.5469363441247,0.0,22,0.5363636363636364,0.0,0.6818181818181818,0.26666666666666666,0.7333333333333333,0.7333333333333333,0.26666666666666666,1.045861005783081
stride_gate_plus_residual_plus_curriculum,4,4,-74.40707937350649,1.0,22,0.531060606060606,1.0,0.6818181818181818,0.26666666666666666,0.7333333333333333,0.7333333333333333,0.26666666666666666,1.045861005783081
