accuracy,precision,recall,f1,log_loss,roc_auc,target,split,model,feature_mode,rmse,mae,r2
0.9729166666666667,1.0,0.7739130434782608,0.8725490196078431,0.09417690078044064,0.9994648829431438,starved,val,log_reg,text_time,,,
0.9802083333333333,1.0,0.8347826086956521,0.909952606635071,0.08933288058981095,0.9994957550810394,starved,test,log_reg,text_time,,,
1.0,1.0,1.0,1.0,0.0007570275338790957,1.0,starved,val,rf,text_time,,,
1.0,1.0,1.0,1.0,0.0005306376044855017,1.0,starved,test,rf,text_time,,,
0.9947916666666666,1.0,0.9565217391304348,0.9777777777777777,0.08175189656093237,1.0,starved,val,gb,text_time,,,
0.9958333333333333,1.0,0.9652173913043478,0.9823008849557522,0.08470655057598127,1.0,starved,test,gb,text_time,,,
0.9802083333333333,1.0,0.9166666666666666,0.9565217391304348,0.1736270420131043,0.9959435816316748,failed,val,log_reg,text_time,,,
0.9635416666666666,1.0,0.8464912280701754,0.9168646080760094,0.18186975724633206,0.9955421340235835,failed,test,log_reg,text_time,,,
1.0,1.0,1.0,1.0,0.0024250597388441866,1.0,failed,val,rf,text_time,,,
1.0,1.0,1.0,1.0,0.002367987975081279,1.0,failed,test,rf,text_time,,,
0.9260416666666667,1.0,0.6885964912280702,0.8155844155844156,0.23302318749664566,0.9972497842968076,failed,val,gb,text_time,,,
0.9229166666666667,1.0,0.6754385964912281,0.806282722513089,0.23682534802535277,0.9959375898763302,failed,test,gb,text_time,,,
0.9729166666666667,1.0,0.7739130434782608,0.8725490196078431,0.09417690078044064,0.9994648829431438,dropped,val,log_reg,text_time,,,
0.9802083333333333,1.0,0.8347826086956521,0.909952606635071,0.08933288058981095,0.9994957550810394,dropped,test,log_reg,text_time,,,
1.0,1.0,1.0,1.0,0.0007570275338790957,1.0,dropped,val,rf,text_time,,,
1.0,1.0,1.0,1.0,0.0005306376044855017,1.0,dropped,test,rf,text_time,,,
0.9947916666666666,1.0,0.9565217391304348,0.9777777777777777,0.08175189656093237,1.0,dropped,val,gb,text_time,,,
0.9958333333333333,1.0,0.9652173913043478,0.9823008849557522,0.08470655057598127,1.0,dropped,test,gb,text_time,,,
0.984375,0.9838056680161943,0.9959016393442623,0.9898167006109979,0.167594096893358,0.999748346275525,has_winner,val,log_reg,text_time,,,
0.978125,0.9759036144578314,0.9959016393442623,0.9858012170385395,0.16969984612286532,0.9995865688812194,has_winner,test,log_reg,text_time,,,
1.0,1.0,1.0,1.0,0.001005072933595006,1.0,has_winner,val,rf,text_time,,,
1.0,1.0,1.0,1.0,0.0010642003587957363,1.0,has_winner,test,rf,text_time,,,
0.9375,0.9242424242424242,1.0,0.9606299212598425,0.2222597063542346,0.9994128079762247,has_winner,val,gb,text_time,,,
0.9572916666666667,0.9469598965071151,1.0,0.9727574750830564,0.2194080780816991,0.9986698303134887,has_winner,test,gb,text_time,,,
,,,,,,num_submissions,val,rf_reg,text_time,0.08858670423188048,0.022416666666666692,0.9997656800132706
,,,,,,num_submissions,test,rf_reg,text_time,0.09612965961831622,0.022932291666666684,0.9997242288482222
,,,,,,num_submissions,val,gb_reg,text_time,2.9720280006085447,2.408088733582867,0.7362587631737874
,,,,,,num_submissions,test,gb_reg,text_time,2.937431403398842,2.376508085248267,0.7425045905904328
,,,,,,winning_score,val,rf_reg,text_time,0.3262612327688056,0.09492140625010625,0.9999165025864536
,,,,,,winning_score,test,rf_reg,text_time,0.26253991657322023,0.08737932291676681,0.9999443441392816
,,,,,,winning_score,val,gb_reg,text_time,21.493014264586566,17.54396618363941,0.6376429369478294
,,,,,,winning_score,test,gb_reg,text_time,21.28268398782261,17.144223024709227,0.6342595366328505
