agent,avg_reward,std_reward,win_rate,starved_tasks
random,69413.1971,7404.627670068933,0.8099999999999999,24.1
skill_match,74142.8747,50441.109663678566,0.8433333333333334,4.7
contextual_bandit,80185.01980000001,6783.868653173234,0.9100000000000001,5.1
dqn,108901.60456,15251.28050184791,0.9513333333333334,5.14
