split,attempts,avg_pass_rate,avg_witness_count,regression_guard_rate,oracle_patch_rate
train,48,0.000,0.38,0.333,1.000
dev,3,0.000,1.00,1.000,1.000
test,9,0.000,0.33,0.333,1.000
