method,success_rate,avg_reward,budgeted_success,avg_cost,override_rate,override_win_rate,override_regret_rate
cstride_imitation_only,1.0,72.54710576387244,1.0,0.26106060606060605,0.0,0.0,0.0
cstride_gate_only,1.0,78.70844404098979,1.0,0.2649053030303031,0.08892676767676766,0.81875,0.0
