rl_type,agent,metric,mean,ci_lower,ci_upper,num_samples
single_agent,contract_first,avg_reward,17746.262838709677,13401.849680645159,21229.027088709678,31
single_agent,contract_first,win_rate,0.7820645161290323,0.6762548387096775,0.8831870967741934,31
single_agent,contract_first,starved_tasks,4.670967741935483,2.346774193548387,7.458709677419355,31
single_agent,meta_strategy,avg_reward,17746.262838709677,13030.046096774193,21233.96900967742,31
single_agent,meta_strategy,win_rate,0.7820645161290323,0.6693258064516129,0.8918774193548388,31
single_agent,meta_strategy,starved_tasks,4.670967741935483,2.0838709677419356,7.31,31
single_agent,pattern_skeleton,avg_reward,17746.262838709677,13167.02268064516,21183.88361451613,31
single_agent,pattern_skeleton,win_rate,0.7820645161290323,0.6705806451612903,0.8829774193548388,31
single_agent,pattern_skeleton,starved_tasks,4.670967741935483,2.2516129032258063,7.407258064516129,31
single_agent,random,avg_reward,8782.065206451613,6904.807709516128,10492.347647741937,31
single_agent,random,win_rate,0.597935483870968,0.5098903225806452,0.6828580645161293,31
single_agent,random,starved_tasks,11.290322580645162,7.928709677419356,14.709838709677419,31
single_agent,skill_match,avg_reward,14512.73470322581,12607.563065161292,16412.818052741935,31
single_agent,skill_match,win_rate,0.684258064516129,0.5950645161290323,0.7576838709677418,31
single_agent,skill_match,starved_tasks,3.44516129032258,1.9288709677419353,5.311774193548385,31
