variant,pass_rate,failure_rate,avg_reward,win_rate,starved_tasks,notes,embedding_score
full,0.9,0.09999999999999998,17746.262838709677,0.7820645161290323,4.670967741935483,contract_first + contract_first (single_agent),
no_rl_allocation,0.9,0.09999999999999998,8782.065206451613,0.597935483870968,11.290322580645162,Random agent allocation,
no_multi_agent,0.9,0.09999999999999998,17746.262838709677,0.7820645161290323,4.670967741935483,Best single-agent: contract_first,
predictor_only,0.9,0.09999999999999998,14512.73470322581,0.684258064516129,3.44516129032258,Skill-match heuristic,
no_graph_embeddings,0.9,0.09999999999999998,,,,Baseline embedding configuration,0.9537258073853864
graph_embeddings,0.9,0.09999999999999998,,,,Best embedding configuration,0.986749796655996
predictor_only_performance,,,,,,Best supervised feature mode: text_metadata,1.0
