status,count
Completed,18194
Cancelled - Zero Submissions,1537
Cancelled - Client Request,1169
Cancelled - Failed Review,555
Cancelled - Requirements Infeasible,208
Cancelled - Failed Screening,113
Cancelled - Zero Registrations,36
Cancelled - Winner Unresponsive,7
